사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2019-11,1호선,0150,서울역,"1,556,332","1,473,411","229,539","223,666",2019-12-03 11:43:13
2019-11,1호선,0151,시청,"708,547","727,205","123,715","125,736",2019-12-03 11:43:13
2019-11,1호선,0152,종각,"1,163,679","1,125,351","171,637","162,796",2019-12-03 11:43:13
2019-11,1호선,0153,종로3가,"642,078","605,270","379,915","353,918",2019-12-03 11:43:13
2019-11,1호선,0154,종로5가,"553,620","568,556","278,314","266,901",2019-12-03 11:43:13
2019-11,1호선,0155,동대문,"309,970","347,952","137,022","141,381",2019-12-03 11:43:13
2019-11,1호선,0156,신설동,"368,623","360,324","125,450","119,589",2019-12-03 11:43:13
2019-11,1호선,0157,제기동,"285,598","276,321","328,094","350,312",2019-12-03 11:43:13
2019-11,1호선,0158,청량리(서울시립대입구),"446,561","464,202","314,880","322,778",2019-12-03 11:43:13
2019-11,1호선,0159,동묘앞,"181,957","197,668","152,029","154,876",2019-12-03 11:43:13
2019-11,2호선,0201,시청,"738,421","696,096","68,938","63,191",2019-12-03 11:43:13
2019-11,2호선,0202,을지로입구,"1,458,230","1,456,282","125,864","116,109",2019-12-03 11:43:13
2019-11,2호선,0203,을지로3가,"632,506","623,224","92,809","91,325",2019-12-03 11:43:13
2019-11,2호선,0204,을지로4가,"318,202","322,919","90,698","87,474",2019-12-03 11:43:13
2019-11,2호선,0205,동대문역사문화공원,"512,512","598,103","64,148","68,371",2019-12-03 11:43:13
2019-11,2호선,0206,신당,"362,590","376,966","103,063","105,587",2019-12-03 11:43:13
2019-11,2호선,0207,상왕십리,"385,375","364,340","69,392","69,854",2019-12-03 11:43:13
2019-11,2호선,0208,왕십리(성동구청),"567,258","455,299","62,404","52,928",2019-12-03 11:43:13
2019-11,2호선,0209,한양대,"396,362","448,591","16,070","17,168",2019-12-03 11:43:13
2019-11,2호선,0210,뚝섬,"545,090","574,916","66,148","66,387",2019-12-03 11:43:13
2019-11,2호선,0211,성수,"800,583","874,533","109,041","110,800",2019-12-03 11:43:13
2019-11,2호선,0212,건대입구,"1,257,498","1,386,494","101,735","105,979",2019-12-03 11:43:13
2019-11,2호선,0213,구의(광진구청),"639,676","611,932","113,158","114,020",2019-12-03 11:43:13
2019-11,2호선,0214,강변(동서울터미널),"1,234,497","1,220,539","151,012","149,115",2019-12-03 11:43:13
2019-11,2호선,0215,잠실나루,"396,639","384,090","94,491","94,473",2019-12-03 11:43:13
2019-11,2호선,0216,잠실(송파구청),"2,434,492","2,354,504","221,920","210,247",2019-12-03 11:43:13
2019-11,2호선,0217,잠실새내,"636,875","641,771","115,954","114,815",2019-12-03 11:43:13
2019-11,2호선,0218,종합운동장,"251,225","290,035","58,196","60,451",2019-12-03 11:43:13
