"행정구역","2019년11월_남_총인구수","2019년11월_남_연령구간인구수","2019년11월_남_0세","2019년11월_남_1세","2019년11월_남_2세","2019년11월_남_3세","2019년11월_남_4세","2019년11월_남_5세","2019년11월_남_6세","2019년11월_남_7세","2019년11월_남_8세","2019년11월_남_9세","2019년11월_남_10세","2019년11월_남_11세","2019년11월_남_12세","2019년11월_남_13세","2019년11월_남_14세","2019년11월_남_15세","2019년11월_남_16세","2019년11월_남_17세","2019년11월_남_18세","2019년11월_남_19세","2019년11월_남_20세","2019년11월_남_21세","2019년11월_남_22세","2019년11월_남_23세","2019년11월_남_24세","2019년11월_남_25세","2019년11월_남_26세","2019년11월_남_27세","2019년11월_남_28세","2019년11월_남_29세","2019년11월_남_30세","2019년11월_남_31세","2019년11월_남_32세","2019년11월_남_33세","2019년11월_남_34세","2019년11월_남_35세","2019년11월_남_36세","2019년11월_남_37세","2019년11월_남_38세","2019년11월_남_39세","2019년11월_남_40세","2019년11월_남_41세","2019년11월_남_42세","2019년11월_남_43세","2019년11월_남_44세","2019년11월_남_45세","2019년11월_남_46세","2019년11월_남_47세","2019년11월_남_48세","2019년11월_남_49세","2019년11월_남_50세","2019년11월_남_51세","2019년11월_남_52세","2019년11월_남_53세","2019년11월_남_54세","2019년11월_남_55세","2019년11월_남_56세","2019년11월_남_57세","2019년11월_남_58세","2019년11월_남_59세","2019년11월_남_60세","2019년11월_남_61세","2019년11월_남_62세","2019년11월_남_63세","2019년11월_남_64세","2019년11월_남_65세","2019년11월_남_66세","2019년11월_남_67세","2019년11월_남_68세","2019년11월_남_69세","2019년11월_남_70세","2019년11월_남_71세","2019년11월_남_72세","2019년11월_남_73세","2019년11월_남_74세","2019년11월_남_75세","2019년11월_남_76세","2019년11월_남_77세","2019년11월_남_78세","2019년11월_남_79세","2019년11월_남_80세","2019년11월_남_81세","2019년11월_남_82세","2019년11월_남_83세","2019년11월_남_84세","2019년11월_남_85세","2019년11월_남_86세","2019년11월_남_87세","2019년11월_남_88세","2019년11월_남_89세","2019년11월_남_90세","2019년11월_남_91세","2019년11월_남_92세","2019년11월_남_93세","2019년11월_남_94세","2019년11월_남_95세","2019년11월_남_96세","2019년11월_남_97세","2019년11월_남_98세","2019년11월_남_99세","2019년11월_남_100세 이상","2019년11월_여_총인구수","2019년11월_여_연령구간인구수","2019년11월_여_0세","2019년11월_여_1세","2019년11월_여_2세","2019년11월_여_3세","2019년11월_여_4세","2019년11월_여_5세","2019년11월_여_6세","2019년11월_여_7세","2019년11월_여_8세","2019년11월_여_9세","2019년11월_여_10세","2019년11월_여_11세","2019년11월_여_12세","2019년11월_여_13세","2019년11월_여_14세","2019년11월_여_15세","2019년11월_여_16세","2019년11월_여_17세","2019년11월_여_18세","2019년11월_여_19세","2019년11월_여_20세","2019년11월_여_21세","2019년11월_여_22세","2019년11월_여_23세","2019년11월_여_24세","2019년11월_여_25세","2019년11월_여_26세","2019년11월_여_27세","2019년11월_여_28세","2019년11월_여_29세","2019년11월_여_30세","2019년11월_여_31세","2019년11월_여_32세","2019년11월_여_33세","2019년11월_여_34세","2019년11월_여_35세","2019년11월_여_36세","2019년11월_여_37세","2019년11월_여_38세","2019년11월_여_39세","2019년11월_여_40세","2019년11월_여_41세","2019년11월_여_42세","2019년11월_여_43세","2019년11월_여_44세","2019년11월_여_45세","2019년11월_여_46세","2019년11월_여_47세","2019년11월_여_48세","2019년11월_여_49세","2019년11월_여_50세","2019년11월_여_51세","2019년11월_여_52세","2019년11월_여_53세","2019년11월_여_54세","2019년11월_여_55세","2019년11월_여_56세","2019년11월_여_57세","2019년11월_여_58세","2019년11월_여_59세","2019년11월_여_60세","2019년11월_여_61세","2019년11월_여_62세","2019년11월_여_63세","2019년11월_여_64세","2019년11월_여_65세","2019년11월_여_66세","2019년11월_여_67세","2019년11월_여_68세","2019년11월_여_69세","2019년11월_여_70세","2019년11월_여_71세","2019년11월_여_72세","2019년11월_여_73세","2019년11월_여_74세","2019년11월_여_75세","2019년11월_여_76세","2019년11월_여_77세","2019년11월_여_78세","2019년11월_여_79세","2019년11월_여_80세","2019년11월_여_81세","2019년11월_여_82세","2019년11월_여_83세","2019년11월_여_84세","2019년11월_여_85세","2019년11월_여_86세","2019년11월_여_87세","2019년11월_여_88세","2019년11월_여_89세","2019년11월_여_90세","2019년11월_여_91세","2019년11월_여_92세","2019년11월_여_93세","2019년11월_여_94세","2019년11월_여_95세","2019년11월_여_96세","2019년11월_여_97세","2019년11월_여_98세","2019년11월_여_99세","2019년11월_여_100세 이상"
"전국  (0000000000)","25,866,604","25,866,604","150,953","171,105","187,977","212,898","227,935","225,216","227,221","251,303","245,418","243,200","231,240","242,226","254,057","231,783","226,887","247,454","255,485","260,341","295,435","332,751","323,367","334,991","347,731","362,819","372,470","379,443","378,979","381,660","362,116","339,677","330,044","323,199","318,123","326,965","334,690","344,294","385,670","420,141","426,259","431,851","414,052","377,063","391,595","386,379","402,397","440,733","447,656","453,374","481,213","465,411","469,300","463,159","424,021","423,430","425,145","405,652","412,123","438,940","458,457","455,303","409,283","381,128","376,080","336,962","340,858","290,425","249,339","273,615","196,136","210,521","210,457","205,908","201,173","154,702","141,245","142,783","141,943","166,311","128,916","110,493","107,194","91,753","79,365","68,368","59,868","47,767","37,021","30,342","21,431","17,340","14,730","10,628","7,902","5,081","3,871","3,075","2,822","1,946","1,273","960","4,812","25,984,823","25,984,823","143,138","162,283","177,172","203,619","216,815","214,508","216,536","238,146","232,475","228,629","218,146","228,449","240,037","216,362","211,630","230,073","236,080","239,666","272,010","305,538","296,430","307,724","322,662","326,940","331,280","333,661","334,291","343,094","328,711","306,127","299,102","298,500","302,116","305,650","315,286","327,972","370,084","405,234","406,049","418,056","403,797","360,713","382,762","371,062","393,616","424,397","441,359","430,821","462,643","450,303","459,948","459,985","428,693","394,706","419,426","395,735","396,106","425,114","462,655","467,796","415,610","382,456","380,163","346,977","364,274","302,770","268,003","294,555","214,247","231,950","234,485","230,305","233,699","179,187","171,222","182,625","186,794","223,888","181,166","163,909","165,043","148,509","135,149","125,054","117,611","100,355","84,144","74,354","58,395","53,620","43,484","35,654","28,039","18,932","15,397","10,430","10,052","7,165","4,652","3,291","15,290"
"서울특별시  (1100000000)","4,746,636","4,746,636","26,441","28,681","30,416","33,915","35,841","35,382","35,718","39,005","37,708","37,920","36,101","38,811","40,981","37,981","37,171","41,435","42,284","43,037","48,638","56,560","55,088","57,432","61,722","66,477","71,234","77,172","81,279","84,750","81,965","77,154","74,582","73,338","70,604","71,245","71,746","71,827","78,216","81,582","82,141","81,026","77,211","68,068","70,902","70,551","72,544","79,290","80,141","83,115","87,872","84,152","83,961","80,537","73,562","72,083","73,501","71,062","71,865","74,718","76,989","78,166","71,983","67,913","67,059","60,911","63,304","53,833","47,596","51,416","35,773","40,393","39,981","39,416","39,205","30,746","28,379","28,211","27,714","32,092","24,749","20,868","19,521","16,511","13,930","11,775","10,397","7,912","6,273","5,177","3,717","3,046","2,718","2,012","1,518","957","744","642","671","448","356","283","1,590","4,985,941","4,985,941","24,541","26,555","28,943","32,513","34,195","33,687","33,833","36,892","35,933","36,025","34,425","36,578","38,694","35,378","34,860","38,838","39,611","40,640","45,866","55,024","56,058","60,450","66,201","72,364","76,711","81,075","83,102","86,233","83,610","77,441","74,513","73,562","72,552","71,298","71,168","71,682","77,176","82,220","80,676","81,484","78,836","68,794","73,292","71,186","74,257","79,810","83,319","83,281","88,913","85,901","85,519","83,676","78,491","70,334","76,228","73,658","73,398","76,893","83,095","86,554","78,001","73,547","73,611","67,987","72,287","60,032","53,632","57,861","40,813","45,850","46,624","45,359","46,927","36,861","33,562","33,653","33,276","38,102","30,319","26,720","25,836","22,965","20,657","18,658","17,388","14,465","12,159","10,727","8,559","7,814","6,739","5,678","4,519","3,198","2,468","1,842","1,737","1,268","894","656","4,648"
"부산광역시  (2600000000)","1,677,165","1,677,165","8,324","9,981","11,089","12,558","13,690","13,473","13,345","14,684","14,134","13,878","12,926","13,457","14,138","12,875","12,814","13,940","14,931","14,972","17,562","19,808","19,566","21,037","22,019","24,065","24,693","24,878","24,690","24,428","22,860","21,068","20,403","19,566","19,036","19,735","19,943","20,885","23,401","25,942","26,930","27,611","26,184","23,663","23,833","22,955","24,586","26,755","27,104","27,855","28,834","28,693","28,618","28,879","26,685","26,682","26,194","25,651","27,098","29,779","31,374","32,114","29,402","28,140","28,692","26,150","27,161","23,747","20,156","21,963","17,276","17,248","17,351","16,868","15,841","12,282","11,059","11,688","11,686","12,496","9,771","8,402","7,745","6,316","5,516","4,532","3,809","3,042","2,348","1,821","1,350","991","889","640","454","280","221","181","152","125","61","54","388","1,739,556","1,739,556","8,055","9,423","10,439","12,136","12,836","12,596","12,627","13,858","13,618","13,029","12,172","12,772","13,395","11,992","11,913","13,120","13,636","13,897","15,950","18,219","18,040","19,438","20,802","21,816","21,834","21,962","21,705","22,182","20,926","19,235","19,107","18,480","18,469","18,236","18,965","20,000","22,989","25,048","25,883","26,831","25,630","22,489","23,248","22,189","24,488","26,326","27,538","27,256","29,353","29,196","29,723","30,252","29,297","26,650","28,273","27,055","28,405","31,587","35,069","35,828","32,183","30,338","31,137","28,686","31,083","24,816","23,001","24,524","19,566","19,433","20,159","19,582","18,823","14,079","13,008","14,340","14,525","16,046","13,416","12,074","11,610","9,818","9,044","8,050","7,549","6,363","5,149","4,665","3,646","3,098","2,757","2,231","1,821","1,088","936","616","560","404","263","199","1,387"
"대구광역시  (2700000000)","1,207,318","1,207,318","6,660","7,439","8,508","9,722","10,328","10,211","10,195","11,485","11,100","11,072","10,560","11,158","11,725","10,943","11,104","11,973","12,975","12,954","15,037","16,677","16,218","16,947","17,745","18,324","18,526","18,550","18,094","18,001","16,763","15,783","15,361","14,280","14,160","14,409","14,381","14,594","16,359","17,931","18,337","18,888","18,044","16,471","17,587","17,683","18,392","20,193","20,544","21,257","22,341","21,908","21,883","22,718","20,856","20,583","20,226","19,589","19,779","21,459","22,198","21,393","19,640","17,342","17,895","16,178","15,818","13,518","12,322","13,177","9,981","10,122","10,411","9,931","9,020","6,378","5,913","6,609","6,959","7,595","5,837","4,947","4,964","4,038","3,528","3,066","2,676","2,181","1,648","1,391","921","651","557","420","305","178","157","93","88","59","37","30","156","1,234,263","1,234,263","6,117","7,247","8,019","9,319","9,796","9,801","9,843","10,943","10,507","10,332","9,787","10,339","11,139","10,014","10,022","10,978","11,490","11,400","13,432","14,828","14,280","14,801","15,984","16,095","15,880","15,437","14,955","15,255","14,186","13,262","12,849","12,059","12,560","12,642","13,053","13,801","16,132","18,197","18,377","19,071","18,703","16,571","17,714","17,768","19,271","20,588","21,730","21,710","23,021","22,632","23,080","23,364","22,462","20,141","21,632","20,365","20,175","21,939","23,421","23,150","21,041","17,689","18,585","17,189","18,031","14,475","14,374","15,343","11,517","11,484","12,310","11,955","11,306","7,614","7,684","9,104","9,454","10,398","8,688","7,794","7,729","6,775","6,160","5,651","5,159","4,479","3,628","3,184","2,521","2,116","1,657","1,390","1,115","688","594","389","291","232","175","113","516"
"인천광역시  (2800000000)","1,482,519","1,482,519","9,120","9,916","10,914","12,238","13,345","13,099","13,091","14,507","14,477","14,029","13,497","13,805","14,693","13,353","12,855","13,913","14,484","14,665","16,560","18,376","18,386","19,087","20,036","21,019","21,915","23,019","23,326","23,384","22,388","20,750","19,834","19,027","18,810","19,368","20,039","20,465","23,110","25,135","25,911","25,963","25,185","22,514","23,243","22,646","23,999","25,778","25,848","26,331","27,585","26,865","26,770","26,469","24,486","24,470","25,637","24,601","25,202","26,565","27,725","27,203","23,997","22,357","21,220","18,653","18,545","15,334","12,943","14,252","9,138","10,647","10,506","10,291","9,975","7,814","6,923","6,811","6,698","7,487","5,748","4,795","4,680","4,135","3,386","2,999","2,742","2,032","1,616","1,293","956","742","695","514","370","248","171","158","156","98","72","61","230","1,474,730","1,474,730","8,530","9,370","10,204","11,890","12,684","12,453","12,655","13,749","13,526","13,323","12,718","13,385","13,954","12,369","12,196","13,176","13,693","13,636","15,442","17,197","16,760","17,473","18,831","19,591","20,083","20,359","20,881","21,700","20,366","18,688","18,203","17,917","17,650","18,101","18,442","19,317","22,066","24,038","24,146","24,720","23,649","21,468","22,077","21,219","22,943","24,226","25,807","25,236","26,847","26,204","27,303","27,481","25,360","23,975","25,831","24,594","24,290","25,935","26,900","26,975","23,770","22,029","21,030","18,709","19,292","15,777","13,615","14,704","9,623","11,002","11,329","11,006","11,609","9,058","8,164","8,347","8,527","10,188","8,198","7,255","7,366","6,721","5,917","5,734","5,302","4,502","3,892","3,467","2,802","2,603","2,154","1,675","1,394","952","804","546","456","344","252","159","654"
"광주광역시  (2900000000)","722,168","722,168","4,135","4,960","5,538","6,311","6,888","6,927","7,117","7,991","7,672","7,718","7,459","7,684","8,443","7,596","7,483","8,190","8,802","8,800","10,056","11,242","10,947","11,390","11,600","11,674","11,524","11,420","10,974","10,696","9,807","8,973","8,507","8,312","8,310","8,559","8,815","9,596","10,859","11,963","11,571","11,866","11,628","10,655","11,336","11,344","11,433","12,888","12,750","12,935","13,456","13,101","12,659","13,014","11,784","11,894","11,285","10,667","11,034","10,704","11,027","11,547","10,212","9,077","9,074","7,721","7,933","6,541","5,645","6,191","5,070","5,233","5,416","4,940","5,030","4,072","3,568","3,508","3,258","4,380","3,144","2,575","2,512","2,182","1,876","1,477","1,347","1,141","813","680","462","398","367","228","166","116","75","53","55","30","23","13","50","736,747","736,747","4,042","4,596","5,195","6,088","6,463","6,597","6,682","7,374","7,219","7,291","6,992","7,244","7,799","7,057","6,976","7,564","7,860","8,201","9,375","10,395","10,038","10,439","10,744","10,545","10,691","10,102","9,770","9,875","9,070","8,216","7,929","7,839","7,993","8,313","8,522","9,094","10,458","11,784","11,565","12,048","12,137","10,707","11,553","11,296","11,494","12,981","13,087","13,123","13,692","13,278","12,743","13,369","12,157","11,590","11,650","10,643","11,091","10,821","11,477","12,371","10,975","9,826","9,670","7,996","8,823","7,167","6,441","7,079","5,933","6,006","6,422","5,902","6,268","4,739","4,446","4,395","4,280","5,683","4,508","3,972","3,765","3,439","3,178","2,731","2,664","2,420","1,910","1,629","1,354","1,386","997","798","628","451","367","215","270","173","112","74","350"
"대전광역시  (3000000000)","737,607","737,607","4,171","4,858","5,567","6,310","6,762","6,641","6,746","7,393","7,302","7,152","6,891","7,349","7,769","7,142","7,071","7,947","7,983","8,215","9,298","10,204","10,004","10,467","11,036","11,671","12,100","12,030","11,782","11,675","10,877","10,499","9,998","9,805","9,354","9,587","9,579","9,699","10,810","11,635","11,818","11,799","11,414","10,673","11,052","10,928","11,537","12,584","12,924","12,731","13,981","13,372","13,795","13,471","12,017","11,473","11,596","11,046","10,813","12,116","12,886","12,388","10,963","9,934","10,275","9,282","9,041","7,707","6,529","7,011","5,092","5,661","5,379","5,193","4,803","3,795","3,506","3,560","3,418","4,199","3,078","2,468","2,581","2,289","1,933","1,581","1,415","1,182","913","769","524","424","307","260","217","129","99","69","54","46","26","18","84","739,348","739,348","4,067","4,626","5,229","5,840","6,411","6,183","6,573","6,866","6,907","6,773","6,499","6,886","7,390","6,645","6,475","7,236","7,457","7,465","8,504","9,483","9,490","9,928","10,797","10,654","10,518","10,386","10,100","10,262","9,776","8,930","8,484","8,411","8,570","8,690","8,914","9,099","10,335","11,460","11,609","11,887","11,378","10,766","11,267","11,213","11,536","12,671","13,380","12,554","13,691","13,096","14,029","13,801","12,360","10,929","11,791","11,123","10,635","12,101","13,216","13,132","11,516","10,199","10,296","9,615","9,697","8,420","6,802","7,401","5,482","6,131","5,941","5,800","5,533","4,236","4,197","4,489","4,521","5,438","4,227","3,573","3,890","3,492","3,115","2,997","2,745","2,331","2,029","1,764","1,374","1,230","1,004","873","662","403","352","267","243","149","106","70","254"
"울산광역시  (3100000000)","590,098","590,098","3,710","4,179","4,829","5,559","5,869","5,787","5,672","6,270","6,090","6,014","5,700","5,878","6,192","5,480","5,389","5,850","6,076","6,083","7,198","7,922","7,801","8,281","8,467","8,702","8,646","8,696","8,649","8,557","8,103","7,697","7,619","7,445","7,211","7,372","7,603","7,999","8,886","9,827","10,211","10,457","9,838","9,021","9,214","8,689","9,012","9,629","9,827","10,071","10,802","10,597","10,957","11,131","10,501","11,081","11,042","10,222","10,155","11,050","11,252","10,754","9,728","8,850","8,390","7,485","7,337","6,244","5,464","5,546","4,274","4,198","4,007","3,961","3,508","2,534","2,235","2,238","2,308","2,489","1,744","1,552","1,475","1,115","899","766","677","576","440","352","217","175","150","93","73","39","30","27","27","7","8","8","31","558,824","558,824","3,528","4,010","4,482","5,166","5,487","5,516","5,495","5,944","5,618","5,532","5,239","5,438","5,728","5,048","4,776","5,221","5,325","5,515","6,200","6,917","6,417","6,617","6,923","6,658","6,699","6,521","6,526","6,695","6,694","6,178","6,194","5,955","6,273","6,538","6,759","7,251","8,467","9,382","9,253","9,781","9,103","8,166","8,633","8,159","8,819","9,603","10,053","9,947","10,889","10,886","11,074","11,388","10,838","9,900","10,303","9,533","9,271","9,944","10,833","10,454","9,187","8,427","8,225","7,413","7,500","5,944","5,495","5,462","4,186","4,153","4,024","3,967","3,607","2,574","2,436","2,745","2,845","3,211","2,429","2,335","2,186","2,036","1,852","1,707","1,567","1,364","1,162","975","832","654","601","514","382","263","228","146","130","89","48","33","128"
"세종특별자치시  (3600000000)","168,916","168,916","1,829","2,057","2,214","2,504","2,554","2,503","2,481","2,714","2,646","2,546","2,392","2,404","2,285","2,156","1,882","1,900","1,799","1,697","1,660","1,777","1,672","1,718","1,724","1,760","1,791","1,870","1,833","1,960","1,942","2,031","2,134","2,361","2,399","2,675","2,828","3,011","3,230","3,782","3,667","3,807","3,719","3,255","3,433","3,181","3,261","3,420","3,369","3,157","3,224","2,931","2,780","2,594","2,212","2,059","2,097","2,006","1,890","2,055","2,169","2,023","1,823","1,709","1,623","1,541","1,537","1,267","1,003","1,128","811","939","866","793","724","591","512","518","518","630","487","399","395","358","293","288","233","214","157","109","93","85","64","51","39","21","19","9","11","10","8","1","9","169,731","169,731","1,824","1,994","2,157","2,332","2,469","2,369","2,407","2,598","2,430","2,466","2,306","2,417","2,354","2,081","1,911","1,970","1,848","1,636","1,610","1,668","1,633","1,519","1,528","1,565","1,625","1,688","1,780","2,092","2,169","2,237","2,293","2,448","2,691","2,751","2,864","3,059","3,559","3,990","3,923","3,845","3,884","3,271","3,392","3,165","3,116","3,164","3,006","2,611","2,821","2,517","2,393","2,387","2,125","1,879","1,971","1,798","1,769","1,906","2,120","2,036","1,813","1,652","1,670","1,495","1,570","1,349","1,049","1,214","841","943","973","811","819","647","630","663","658","856","698","591","640","603","522","514","489","431","404","359","279","240","227","170","126","82","81","46","32","32","18","11","46"
"경기도  (4100000000)","6,654,571","6,654,571","42,336","48,582","53,406","60,945","65,210","64,300","64,349","71,395","69,388","68,612","65,194","68,170","70,438","64,223","61,539","66,926","68,473","69,208","77,712","88,266","84,025","86,067","89,062","91,898","95,716","98,452","98,691","101,023","96,160","88,843","87,556","86,046","85,413","87,512","90,875","93,421","105,578","115,713","118,317","119,563","114,489","104,007","108,392","107,100","110,614","119,607","121,197","122,900","128,975","124,128","124,201","119,978","108,930","108,612","110,306","105,551","104,770","109,721","112,787","111,421","98,430","91,828","86,288","76,483","76,287","63,945","54,532","59,855","38,282","42,774","42,861","42,423","42,475","33,312","30,344","29,378","28,724","33,323","26,421","22,698","21,609","18,895","16,501","14,101","12,213","9,789","7,591","6,324","4,502","3,706","3,193","2,238","1,646","1,128","815","709","674","440","289","225","1,031","6,573,606","6,573,606","39,981","46,355","50,142","58,274","62,232","61,382","61,558","67,761","66,017","64,662","61,894","64,668","67,481","60,655","58,616","63,409","64,265","64,641","72,558","80,768","77,279","79,173","82,209","83,623","86,191","87,161","87,257","89,231","86,434","80,480","79,126","79,978","80,337","82,450","86,402","89,016","101,440","110,580","113,414","115,788","112,097","99,980","106,535","102,586","108,011","115,806","119,004","117,171","124,416","119,558","122,663","120,154","110,552","101,320","107,084","100,991","98,402","103,778","110,519","109,003","95,711","88,475","85,057","76,709","79,042","65,478","56,870","62,568","41,378","47,305","47,189","47,051","48,802","38,789","36,131","37,135","37,261","43,537","35,883","32,141","32,121","29,351","26,596","24,463","23,193","19,387","16,335","14,452","11,263","10,611","8,737","7,250","5,604","3,940","3,231","2,190","1,930","1,437","920","693","2,872"
